system:index,.geo
48,"{""type"":""Point"",""coordinates"":[-94.74543619810925,44.16640700262856]}"
49,"{""type"":""Point"",""coordinates"":[-91.51545572935919,42.779236823869994]}"
50,"{""type"":""Point"",""coordinates"":[-105.77570963560919,48.04867484429309]}"
51,"{""type"":""Point"",""coordinates"":[-93.69519944151398,46.2710011797941]}"
52,"{""type"":""Point"",""coordinates"":[-95.03553147276398,47.945751295006716]}"
53,"{""type"":""Point"",""coordinates"":[-94.39832444151398,47.82787292038192]}"
54,"{""type"":""Point"",""coordinates"":[-100.46277756651398,48.951331991853365]}"
55,"{""type"":""Point"",""coordinates"":[-103.07752366026398,48.821297980777885]}"
56,"{""type"":""Point"",""coordinates"":[-104.63758225401398,47.085049609635306]}"
57,"{""type"":""Point"",""coordinates"":[-92.42078537901398,44.9803052424512]}"
58,"{""type"":""Point"",""coordinates"":[-108.04334397276398,47.62094002604019]}"
59,"{""type"":""Point"",""coordinates"":[-93.89295334776398,45.382982402338044]}"
60,"{""type"":""Point"",""coordinates"":[-94.55213303526398,48.516569570315106]}"
61,"{""type"":""Point"",""coordinates"":[-94.39832444151398,47.12991503646515]}"
62,"{""type"":""Point"",""coordinates"":[-100.99012131651398,48.603822889618904]}"
63,"{""type"":""Point"",""coordinates"":[-99.53992600401398,47.51716523853224]}"
64,"{""type"":""Point"",""coordinates"":[-69.26160569151398,46.72476438326578]}"
65,"{""type"":""Point"",""coordinates"":[-123.00672287901398,48.16605040048487]}"
66,"{""type"":""Point"",""coordinates"":[-87.98230881651398,45.690796161117994]}"
67,"{""type"":""Point"",""coordinates"":[-95.47498459776398,47.32389498124274]}"
68,"{""type"":""Point"",""coordinates"":[-104.57166428526398,48.4291657170547]}"
69,"{""type"":""Point"",""coordinates"":[-108.61463303526398,46.452960875146935]}"
70,"{""type"":""Point"",""coordinates"":[-93.14588303526398,45.290309687683155]}"
71,"{""type"":""Point"",""coordinates"":[-90.81678147276398,48.06336144917854]}"
72,"{""type"":""Point"",""coordinates"":[-93.21180100401398,45.78281173702121]}"
73,"{""type"":""Point"",""coordinates"":[-94.02478928526398,44.115270582945705]}"
74,"{""type"":""Point"",""coordinates"":[-85.53244702849236,34.83928345147433]}"
75,"{""type"":""Point"",""coordinates"":[-106.16477124724236,44.17069452113624]}"
76,"{""type"":""Point"",""coordinates"":[-84.76340405974236,41.890331786041344]}"
77,"{""type"":""Point"",""coordinates"":[-92.49777905974236,40.901384155975826]}"
78,"{""type"":""Point"",""coordinates"":[-97.67718433082564,41.31527412129088]}"
79,"{""type"":""Point"",""coordinates"":[-87.52581714332564,38.104644975644725]}"
80,"{""type"":""Point"",""coordinates"":[-98.13861011207564,44.328086572352724]}"
81,"{""type"":""Point"",""coordinates"":[-103.87347339332564,40.4681739076438]}"
82,"{""type"":""Point"",""coordinates"":[-98.44622729957564,41.26574511395594]}"
83,"{""type"":""Point"",""coordinates"":[-103.47796558082564,38.43241484780518]}"
84,"{""type"":""Point"",""coordinates"":[-104.07122729957564,37.24894703637889]}"
85,"{""type"":""Point"",""coordinates"":[-110.21885483612243,39.954134289228236]}"
86,"{""type"":""Point"",""coordinates"":[-99.12266342987243,39.616438634430345]}"
87,"{""type"":""Point"",""coordinates"":[-122.44430302740295,36.97042404218921]}"
88,"{""type"":""Point"",""coordinates"":[-119.48573716415802,42.927059898408054]}"
89,"{""type"":""Point"",""coordinates"":[-70.9898136376932,43.89295305007299]}"
90,"{""type"":""Point"",""coordinates"":[-70.1328800439432,46.068475244662146]}"
91,"{""type"":""Point"",""coordinates"":[-70.0230167626932,43.84543121821903]}"
92,"{""type"":""Point"",""coordinates"":[-75.6699894189432,44.428885172041674]}"
93,"{""type"":""Point"",""coordinates"":[-81.0972355126932,41.602102859507575]}"
94,"{""type"":""Point"",""coordinates"":[-74.0879581689432,39.88762067838691]}"
95,"{""type"":""Point"",""coordinates"":[-78.0650089501932,43.06388018672237]}"
96,"{""type"":""Point"",""coordinates"":[-68.7705753564432,44.350376967463085]}"
97,"{""type"":""Point"",""coordinates"":[-83.5362003564432,42.75811337370068]}"
98,"{""type"":""Point"",""coordinates"":[-92.97289285661498,44.10673688323286]}"
99,"{""type"":""Point"",""coordinates"":[-81.41007610392705,37.62518842353183]}"
100,"{""type"":""Point"",""coordinates"":[-76.46622844767705,36.87064647538222]}"
101,"{""type"":""Point"",""coordinates"":[-73.52189251017705,40.95483604046985]}"
102,"{""type"":""Point"",""coordinates"":[-75.36759563517705,39.17247873336419]}"
103,"{""type"":""Point"",""coordinates"":[-104.43145536517017,36.249553642019364]}"
104,"{""type"":""Point"",""coordinates"":[-103.13506864642017,35.626904116503304]}"
105,"{""type"":""Point"",""coordinates"":[-104.10186552142017,30.794661323968196]}"
106,"{""type"":""Point"",""coordinates"":[-110.17282006962188,35.722991705915426]}"
107,"{""type"":""Point"",""coordinates"":[-109.75533960087193,41.61020638702908]}"
108,"{""type"":""Point"",""coordinates"":[-114.44650171024688,36.49517560231663]}"
109,"{""type"":""Point"",""coordinates"":[-123.30712007579461,39.241039613562776]}"
110,"{""type"":""Point"",""coordinates"":[-116.83617281016961,40.41487068848429]}"
111,"{""type"":""Point"",""coordinates"":[-116.03417085704461,42.34363974271125]}"
112,"{""type"":""Point"",""coordinates"":[-99.45580171641961,40.33954662853976]}"
113,"{""type"":""Point"",""coordinates"":[-120.16503023204461,42.5382223342752]}"
114,"{""type"":""Point"",""coordinates"":[-117.34252802677474,42.124012267125714]}"
115,"{""type"":""Point"",""coordinates"":[-111.10229365177474,41.887265136478206]}"
116,"{""type"":""Point"",""coordinates"":[-85.54659845173006,41.2461298558084]}"
117,"{""type"":""Point"",""coordinates"":[-118.73629571735506,47.527682355867164]}"
118,"{""type"":""Point"",""coordinates"":[-89.21416781734843,37.42349112357101]}"
119,"{""type"":""Point"",""coordinates"":[-118.59160922359843,46.95109186834284]}"
120,"{""type"":""Point"",""coordinates"":[-109.92339633297343,48.23280089576346]}"
121,"{""type"":""Point"",""coordinates"":[-103.97780698868269,48.22321231010894]}"
122,"{""type"":""Point"",""coordinates"":[-94.44167417618269,46.632845558560746]}"
123,"{""type"":""Point"",""coordinates"":[-94.33181089493269,44.978791867911674]}"
124,"{""type"":""Point"",""coordinates"":[-105.20827573868269,48.16462340877552]}"
125,"{""type"":""Point"",""coordinates"":[-76.46185263026388,38.30767733880056]}"
126,"{""type"":""Point"",""coordinates"":[-76.72552450526388,35.425383801170454]}"
127,"{""type"":""Point"",""coordinates"":[-74.22064169276388,41.344299871519056]}"
128,"{""type"":""Point"",""coordinates"":[-75.31927450526388,42.09869215416899]}"
129,"{""type"":""Point"",""coordinates"":[-98.69818075526388,40.947191842468996]}"
130,"{""type"":""Point"",""coordinates"":[-105.64154013026388,45.73730140818488]}"
131,"{""type"":""Point"",""coordinates"":[-104.45501669276388,43.54900696120981]}"
132,"{""type"":""Point"",""coordinates"":[-82.13079794276388,37.64953527344406]}"
133,"{""type"":""Point"",""coordinates"":[-82.30657919276388,37.195834881064066]}"
134,"{""type"":""Point"",""coordinates"":[-78.21966513026388,41.73900086751188]}"
135,"{""type"":""Point"",""coordinates"":[-97.73138388026388,43.61267513350081]}"
136,"{""type"":""Point"",""coordinates"":[-96.72064169276388,41.87003226004843]}"
137,"{""type"":""Point"",""coordinates"":[-98.39056356776388,39.74147315776983]}"
138,"{""type"":""Point"",""coordinates"":[-100.19232138026388,40.6144330200968]}"
139,"{""type"":""Point"",""coordinates"":[-104.80657919276388,43.22965638825183]}"
140,"{""type"":""Point"",""coordinates"":[-105.59759481776388,45.64521080671584]}"
141,"{""type"":""Point"",""coordinates"":[-108.36614950526388,41.87003226004843]}"
142,"{""type"":""Point"",""coordinates"":[-105.07025106776388,45.491389495270624]}"
143,"{""type"":""Point"",""coordinates"":[-106.43255575526388,45.27533193902352]}"
144,"{""type"":""Point"",""coordinates"":[-90.52435263026388,40.58106548298051]}"
145,"{""type"":""Point"",""coordinates"":[-85.07513388026388,45.120499557394275]}"
146,"{""type"":""Point"",""coordinates"":[-76.28607138026388,37.30077887775937]}"
147,"{""type"":""Point"",""coordinates"":[-75.01165731776388,44.08803975478492]}"
148,"{""type"":""Point"",""coordinates"":[-83.98590204175366,42.10566720996479]}"
149,"{""type"":""Point"",""coordinates"":[-96.51031610425366,40.454582612619845]}"
