system:index,.geo
90,"{""type"":""Point"",""coordinates"":[-73.8035370087564,44.0031981470672]}"
91,"{""type"":""Point"",""coordinates"":[-107.0701385712564,39.07305613199392]}"
92,"{""type"":""Point"",""coordinates"":[-109.1355682587564,42.693045604440144]}"
93,"{""type"":""Point"",""coordinates"":[-105.5759979462564,36.04300401160566]}"
94,"{""type"":""Point"",""coordinates"":[-105.6199432587564,35.758226561511556]}"
95,"{""type"":""Point"",""coordinates"":[-105.6638885712564,38.111340766920485]}"
96,"{""type"":""Point"",""coordinates"":[-105.7078338837564,39.481267017444026]}"
97,"{""type"":""Point"",""coordinates"":[-109.7508026337564,45.192210168677384]}"
98,"{""type"":""Point"",""coordinates"":[-110.4099823212564,45.4085845612349]}"
99,"{""type"":""Point"",""coordinates"":[-109.7508026337564,44.0347996339619]}"
100,"{""type"":""Point"",""coordinates"":[-110.8494354462564,43.749779975663]}"
101,"{""type"":""Point"",""coordinates"":[-110.5857635712564,43.20768914854413]}"
102,"{""type"":""Point"",""coordinates"":[-110.7175995087564,40.79147056696951]}"
103,"{""type"":""Point"",""coordinates"":[-107.4656463837564,37.660461891772435]}"
104,"{""type"":""Point"",""coordinates"":[-105.6199432587564,37.972902924800906]}"
105,"{""type"":""Point"",""coordinates"":[-105.4441620087564,41.09023096538762]}"
106,"{""type"":""Point"",""coordinates"":[-108.5642791962564,45.16123213267995]}"
107,"{""type"":""Point"",""coordinates"":[-68.9695526337564,45.9917246273345]}"
